country,avg_temperature,avg_humidity,avg_precip,avg_uv,avg_pm25
Fiji Islands,0.6613932406266498,0.9048543330375625,0.007415356005709253,0.016448830799324254,0.003955417800947519
Finland,0.4925140331318817,0.7182971014492748,0.002094655797101445,0.13701431492842506,0.004744111841789781
France,0.538645230974966,0.7245453535316118,0.002428435901666386,0.14369857370313843,0.012367741196615743
Gabon,0.702327506606807,0.8122152672321192,0.004837537122587022,0.2807611370291602,0.009236814089230886
Gambia,0.6863575021469754,0.712949907235621,0.003903667355371895,0.15973229224762944,0.02100157199368315
Georgia,0.6043283032756713,0.5033951762523186,0.0010730888429752031,0.29657557166759574,0.009751013504455385
Germany,0.5320097205108643,0.6661860396332441,0.0016897919411506342,0.16220992264603862,0.009851086474307557
Ghana,0.708350446908799,0.7916112097012714,0.0019038036616161574,0.24622121454610077,0.011608434951213012
Greece,0.6654378084458756,0.4351444957545057,0.0006972669210351675,0.2926872956876087,0.01198756173683343
Grenada,0.7057093885753122,0.8231230448383728,0.0039969724618447175,0.0925507142537279,0.007725162436406142
Guatemala,0.5710553504075767,0.9116206922329366,0.002268131174381169,0.060563158722667744,0.019154199242331794
Guinea,0.6927852928426046,0.8309937405089073,0.011436248831325943,0.16140202420584965,0.015538599640004872
Guinea-Bissau,0.6922074556513912,0.7470238095238091,0.008272689531181366,0.16523295100915772,0.021882980891352287
Guyana,0.6702113276746579,0.9416750306680047,0.011113525970083327,0.09135405142646408,0.0069286464973275985
Haiti,0.6330885467458648,0.8649076418888718,0.0006428334439283335,0.10019703551117273,0.016670338013499243
Honduras,0.5962938565651926,0.8832966458978466,0.0020674927981829206,0.06572380300804145,0.00681732235209082
Hungary,0.5648040272235648,0.5816693583908379,0.0011960601972967064,0.20709935119389117,0.012175944019607518
Iceland,0.42522857471754166,0.8136968035853175,0.0043520218060825976,0.05394541992807264,0.002459123704841001
Inde,0.757085020242915,0.704081632653061,0.0,0.552147239263803,0.0213342321733505
India,0.7621567905778428,0.42987012987012935,0.0016903409090909067,0.272113775794757,0.06761328572365208
Indonesia,0.7131197293616913,0.745627481761935,0.010997703277115023,0.12373761208117015,0.05831535815910098
Iran,0.631029094444893,0.2364346827660279,0.0005392227630204027,0.4014173894647763,0.02317036462624201
Iraq,0.77100080189325,0.22478556640047276,7.634085419411494e-05,0.4294256246110069,0.024567340076501215
Ireland,0.5004171267329157,0.7934879406307973,0.0032933023415977892,0.0975460122699384,0.006278263835831306
Israel,0.6834855531961269,0.454294603503833,0.00026724825386349835,0.38800619064055264,0.013291452742396188
Italy,0.6233176827311889,0.6081336345790579,0.0015132610130341505,0.22928751962410748,0.01042511712206072
Jamaica,0.7031236147640293,0.7789177714881569,0.00450631428334439,0.09695042765662076,0.007976276499388856
Japan,0.6219048876371527,0.6415446613427975,0.0036309082674571753,0.02524006401707119,0.02609404291479762
Jemen,0.688259109311741,0.326530612244897,0.00473484848484848,0.368098159509202,0.0153860261770632
Jordan,0.6638967122376729,0.3481403430937587,0.00017712793697848017,0.40218502711834214,0.014210101591119925
Kazakhstan,0.49412796265408704,0.5687988444016441,0.0017207865863718837,0.19607406500172544,0.00782573445894104
Kenya,0.6360985228406943,0.5511311215263677,0.002890569346265543,0.598475687549229,0.014024441847118891
Kiribati,0.7121801006011528,0.7481076066790348,0.0013270488980716227,0.01677635248187394,0.006522359959741446
Komoren,0.676113360323886,0.704081632653061,0.0,0.490797546012269,0.00150687885239278
Kosovo,0.731443994601889,0.408163265306122,0.00639204545454545,0.368098159509202,0.00379941658012853
Kuwait,0.7964413542216742,0.20753845016267333,7.676973539745255e-05,0.4521539077087218,0.061726829753113076
Kyrghyzstan,0.5945122473921781,0.4037371754509421,0.0025689345817521817,0.26763386146771584,0.013520577196565412
Lao People's Democratic Republic,0.673414304993252,0.948979591836734,0.0466382575757575,0.0613496932515337,0.00980958305554385
Latvia,0.507920500552079,0.7201484230055654,0.002393250688705229,0.1537757947573895,0.008636614857942627
Lebanon,0.6727640780272356,0.5918738404452685,0.0007885674931129458,0.35422197434467334,0.019732593217287698
Lesotho,0.595780950351587,0.4060705952072294,0.0012382788868723514,0.4188369167047082,0.01441703625211598
Letonia,0.614035087719298,0.938775510204081,0.0433238636363636,0.306748466257668,0.00144491837326479
Liberia,0.6924742401865333,0.8622356383569757,0.008824777951933108,0.17799205014864186,0.011295751814577266
Libya,0.700404858299595,0.73469387755102,0.0,0.429447852760736,0.0239365722967262
Liechtenstein,0.5044220911065878,0.7809363309752209,0.004666962272452282,0.1552113836527003,0.004752151718763668
Lithuania,0.5042481955272093,0.7035445757250264,0.003336306577572453,0.16499838553438778,0.007467285777873183
Luxembourg,0.5060017175806645,0.7608534322820033,0.0023760330578512356,0.13934188510875598,0.009185804381079007
Macedonia,0.6054774077248142,0.5343363622821385,0.0013457165173634126,0.2537615870314805,0.014952003196762697
Madagascar,0.6887641800617305,0.4383006668013735,0.0014291272877287702,0.5390451315070153,0.004161157807500097
Malawi,0.6708692718418114,0.4738243123336286,0.001974569060166883,0.5362541122076993,0.006688913217506377
Malaysia,0.7399054352715676,0.7137126589766336,0.013630702404479556,0.16264337156575057,0.04273906337378862
Maldives,0.7142295278619692,0.7506970001115194,0.005859482806204107,0.44694760132756667,0.007349193374104803
Mali,0.7101815994836586,0.5954044661342793,0.002106235589591564,0.2155019116208763,0.01873098284729196
Malta,0.660014375403391,0.6367938479739716,0.0008238807916117686,0.2503889926202539,0.01071265142647209
MalÃ¡sia,0.663967611336032,0.928571428571428,0.0366950757575757,0.0613496932515337,0.00101119501936884
Marrocos,0.879892037786774,0.122448979591836,0.0,0.613496932515337,0.00497666568356039
Marshall Islands,0.7157435115101016,0.8092095533865716,0.006915280522617468,0.01653774339823952,0.0039412656683235
Mauritania,0.6686176142697878,0.5608547766932854,0.00014238855950812426,0.1677113897039208,0.04471211176865838
Mauritius,0.690417864616949,0.6706780538302273,0.002382863965744396,0.49155330310304923,0.005391351904738756
Mexico,0.5313117556935506,0.7172704547998353,0.0011625048473768748,0.03454425141036995,0.029661856496077724
Mexique,0.705802968960863,0.714285714285714,0.0,0.429447852760736,0.00627783574524825
Micronesia,0.7123840594086077,0.8388644023852732,0.009020702716823393,0.016957456047565485,0.003825360141180465
Monaco,0.6037786774628876,0.6285899814471237,0.0025499311294765806,0.18204127161182343,0.006189908192594787
Mongolia,0.43263648632069646,0.49048237476808854,0.0011191460055096387,0.09268265476854412,0.012592560506660959
Montenegro,0.6251962448351784,0.5290381125226855,0.004315500742451733,0.23832852705064927,0.009437336641646563
Morocco,0.6163832658569497,0.7510946196660477,0.0008479683195592266,0.16652537646402651,0.010243075465835756
Mozambique,0.6859121046764064,0.5874741200828152,0.0009499718653930595,0.425235618387125,0.007726874714869534
Myanmar,0.7453671106417097,0.7389270925761604,0.012381371459156765,0.1407486440828663,0.01596594034258287
Namibia,0.6491032131494445,0.287658802177858,0.0006058199967002132,0.4464387115450988,0.004433836785428621
Nepal,0.6548638103705442,0.607337308789214,0.013261872353297018,0.17401712446973122,0.02352578331618444
Netherlands,0.5280057605972206,0.7444534982777135,0.0025766684540504815,0.13718504002761261,0.011339309694051369
New Zealand,0.5135295038041029,0.7885980479148176,0.003943133783487037,0.016559971547968337,0.004179547486996107
Nicaragua,0.6631953953227884,0.8651643472745583,0.0035654188133621345,0.08411749531745932,0.005737726135416256
Niger,0.7464382021646322,0.4340345938738467,0.0007110865918715264,0.28894480754456436,0.01844942086023695
Nigeria,0.7157532906960821,0.6766119491274766,0.003328547019104078,0.2861429714590553,0.029339385767631197
North Korea,0.5511755096242626,0.6261343012704169,0.0024924551779134316,0.04670816028859956,0.023328988513102878
Norway,0.4672966095260484,0.744046075780584,0.002271180498267609,0.12342311246701453,0.006502192278700533
Oman,0.775042050499716,0.5129769299023952,2.1015178963548504e-05,0.4886969858628962,0.02438043045435489
Pakistan,0.7378536387037673,0.31543760880032545,0.002500618709783859,0.3484239475354342,0.03498338354890935
Palau,0.7144438647925128,0.8238268084003108,0.010460062283451555,0.07378664558582818,0.003338237199764532
Panama,0.6809598392387478,0.9056308654848797,0.005027752433090016,0.08615825534011007,0.00513082064203321
Papua New Guinea,0.694367497691597,0.8436053187155076,0.011022916322938992,0.02059835435850042,0.00519153697851097
Paraguay,0.6116299404101482,0.6327456572465641,0.0020700998185117932,0.09589925734581838,0.008425535511601679
Peru,0.5673616610785855,0.8402417639816435,9.564913301202139e-05,0.07492064916275039,0.01565882219513255
Philippines,0.7398007793461032,0.7413793103448272,0.010261559561128512,0.07237259639473113,0.018707034765199408
Poland,0.5323397680377081,0.648920437740313,0.001540541282389106,0.18268204854627867,0.015320277353423301
PolÃ´nia,0.709851551956815,0.510204081632653,0.0,0.429447852760736,0.00144491837326479
Portugal,0.5864237516869091,0.735732838589981,0.002009727961432501,0.15377579475738962,0.011551804705977223
Qatar,0.800223370096328,0.3609207748435122,9.88217015893966e-06,0.47742531704764296,0.038923631462704514
Romania,0.5898366606170595,0.5423904589058849,0.0009804831435956643,0.24762562212597244,0.016567913882607636
Russia,0.509462219196732,0.6491601950514714,0.0021206255028157635,0.18100874097399394,0.025559004701078587
Rwanda,0.6691893771844097,0.5381125226860249,0.004682000357476755,0.54202621001414,0.01729901380102986
Saint Kitts and Nevis,0.7016685069316644,0.7864564007421146,0.0035141184573002694,0.08958170663692128,0.005868264586116381
